2024-08-14 00:16:58.812 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 1.8.0_372-internal on zhengbiaodeMacBook-Air.local with PID 47765 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-08-14 00:17:12.490 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b5af52e, org.springframework.security.web.context.SecurityContextPersistenceFilter@5807fde4, org.springframework.security.web.header.HeaderWriterFilter@63ef8ff2, org.springframework.web.filter.CorsFilter@c1c8b7d, org.springframework.security.web.authentication.logout.LogoutFilter@2713f4c1, com.freebe.code.web.filter.JWTAuthenticationFilter@7b828880, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6dfea877, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2aebe673, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4124c9b8, org.springframework.security.web.session.SessionManagementFilter@5217122, org.springframework.security.web.access.ExceptionTranslationFilter@23f40ea8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@38f49658] -- 
2024-08-14 00:17:12.683 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:17:12.715 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-08-14 00:17:14.410 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 16.126 seconds (JVM running for 16.943) -- 
2024-08-14 00:17:20.244 [http-nio-8990-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring DispatcherServlet 'dispatcherServlet' -- 
2024-08-14 00:17:20.245 [http-nio-8990-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet -- Initializing Servlet 'dispatcherServlet' -- 
2024-08-14 00:17:20.250 [http-nio-8990-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet -- Completed initialization in 5 ms -- 
2024-08-14 00:19:42.568 [Thread-11] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-14 00:19:42.591 [Thread-11] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown initiated... -- 
2024-08-14 00:19:42.615 [Thread-11] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown completed. -- 
2024-08-14 00:19:43.117 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 1.8.0_372-internal on zhengbiaodeMacBook-Air.local with PID 47765 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-08-14 00:19:43.119 [restartedMain] INFO  com.freebe.code.GeneralApplication -- No active profile set, falling back to default profiles: default -- 
2024-08-14 00:19:43.755 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-08-14 00:19:43.871 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 114 ms. Found 17 JPA repository interfaces. -- 
2024-08-14 00:19:44.257 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8990 (http) -- 
2024-08-14 00:19:44.263 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:19:44.264 [restartedMain] INFO  org.apache.catalina.core.StandardService -- Starting service [Tomcat] -- 
2024-08-14 00:19:44.265 [restartedMain] INFO  org.apache.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/9.0.54] -- 
2024-08-14 00:19:44.288 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext -- 
2024-08-14 00:19:44.288 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 1143 ms -- 
2024-08-14 00:19:44.533 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Starting... -- 
2024-08-14 00:19:44.644 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Start completed. -- 
2024-08-14 00:19:45.286 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-14 00:19:48.324 [restartedMain] INFO  com.freebe.code.common.CommonExecutor -- 启动线程： com.freebe.code.business.meta.service.impl.TransactionTimer$1@545ac535 -- 
2024-08-14 00:19:48.417 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-08-14 00:19:48.715 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer -- LiveReload server is running on port 35729 -- 
2024-08-14 00:19:48.748 [restartedMain] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-08-14 00:19:48.771 [restartedMain] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: ed32307b-b9bf-408f-904c-bb508b02fe2b
 -- 
2024-08-14 00:19:48.781 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@69e164d2, org.springframework.security.web.context.SecurityContextPersistenceFilter@7f41b19c, org.springframework.security.web.header.HeaderWriterFilter@437fb97a, org.springframework.web.filter.CorsFilter@4a2f5089, org.springframework.security.web.authentication.logout.LogoutFilter@23b0ae09, com.freebe.code.web.filter.JWTAuthenticationFilter@8772f74, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6d41b215, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@53cb72ae, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@74497ac1, org.springframework.security.web.session.SessionManagementFilter@1bf326b4, org.springframework.security.web.access.ExceptionTranslationFilter@39a566ff, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@f84c54] -- 
2024-08-14 00:19:48.812 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:19:48.815 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-08-14 00:19:49.706 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 6.77 seconds (JVM running for 172.238) -- 
2024-08-14 00:19:49.738 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener -- Condition evaluation unchanged -- 
2024-08-14 00:20:01.542 [Thread-14] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-14 00:20:01.549 [Thread-14] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Shutdown initiated... -- 
2024-08-14 00:20:01.641 [Thread-14] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Shutdown completed. -- 
2024-08-14 00:20:02.306 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 1.8.0_372-internal on zhengbiaodeMacBook-Air.local with PID 47765 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-08-14 00:20:02.309 [restartedMain] INFO  com.freebe.code.GeneralApplication -- No active profile set, falling back to default profiles: default -- 
2024-08-14 00:20:02.781 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-08-14 00:20:02.855 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 71 ms. Found 17 JPA repository interfaces. -- 
2024-08-14 00:20:03.095 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8990 (http) -- 
2024-08-14 00:20:03.100 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:20:03.101 [restartedMain] INFO  org.apache.catalina.core.StandardService -- Starting service [Tomcat] -- 
2024-08-14 00:20:03.101 [restartedMain] INFO  org.apache.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/9.0.54] -- 
2024-08-14 00:20:03.113 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext -- 
2024-08-14 00:20:03.113 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 781 ms -- 
2024-08-14 00:20:03.207 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Starting... -- 
2024-08-14 00:20:03.287 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Start completed. -- 
2024-08-14 00:20:03.849 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-14 00:20:06.226 [restartedMain] INFO  com.freebe.code.common.CommonExecutor -- 启动线程： com.freebe.code.business.meta.service.impl.TransactionTimer$1@5ef4dae1 -- 
2024-08-14 00:20:06.271 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-08-14 00:20:06.436 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer -- LiveReload server is running on port 35729 -- 
2024-08-14 00:20:06.459 [restartedMain] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-08-14 00:20:06.476 [restartedMain] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: d9d53037-87aa-47b7-87a3-d8eac53c6f2e
 -- 
2024-08-14 00:20:06.484 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4c17b566, org.springframework.security.web.context.SecurityContextPersistenceFilter@3def1cf6, org.springframework.security.web.header.HeaderWriterFilter@2e8ae1b0, org.springframework.web.filter.CorsFilter@3879aeeb, org.springframework.security.web.authentication.logout.LogoutFilter@25bfc8b1, com.freebe.code.web.filter.JWTAuthenticationFilter@5ac4704f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@563a8761, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2fc47b77, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1210d890, org.springframework.security.web.session.SessionManagementFilter@43819f1d, org.springframework.security.web.access.ExceptionTranslationFilter@1c2ef218, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@152eee2d] -- 
2024-08-14 00:20:06.500 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:20:06.503 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-08-14 00:20:07.244 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 5.12 seconds (JVM running for 189.776) -- 
2024-08-14 00:20:07.257 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener -- Condition evaluation unchanged -- 
2024-08-14 00:20:08.131 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-14 00:20:08.137 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Shutdown initiated... -- 
2024-08-14 00:20:08.153 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Shutdown completed. -- 
2024-08-14 00:21:52.396 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 1.8.0_372-internal on zhengbiaodeMacBook-Air.local with PID 47856 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-08-14 00:21:52.400 [restartedMain] INFO  com.freebe.code.GeneralApplication -- No active profile set, falling back to default profiles: default -- 
2024-08-14 00:21:52.591 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor -- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable -- 
2024-08-14 00:21:52.593 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor -- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' -- 
2024-08-14 00:21:54.070 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-08-14 00:21:54.347 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 257 ms. Found 17 JPA repository interfaces. -- 
2024-08-14 00:21:55.855 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8990 (http) -- 
2024-08-14 00:21:55.869 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:21:55.869 [restartedMain] INFO  org.apache.catalina.core.StandardService -- Starting service [Tomcat] -- 
2024-08-14 00:21:55.869 [restartedMain] INFO  org.apache.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/9.0.54] -- 
2024-08-14 00:21:55.995 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext -- 
2024-08-14 00:21:55.996 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 3401 ms -- 
2024-08-14 00:21:56.581 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Starting... -- 
2024-08-14 00:21:56.932 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Start completed. -- 
2024-08-14 00:21:58.851 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-14 00:22:04.331 [restartedMain] INFO  com.freebe.code.common.CommonExecutor -- 启动线程： com.freebe.code.business.meta.service.impl.TransactionTimer$1@5c524922 -- 
2024-08-14 00:22:04.469 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-08-14 00:22:05.329 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer -- LiveReload server is running on port 35729 -- 
2024-08-14 00:22:05.688 [restartedMain] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-08-14 00:22:05.930 [restartedMain] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: cf8ccd9c-b001-42ec-b00b-cbb54ddc00a9
 -- 
2024-08-14 00:22:06.010 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@488743e1, org.springframework.security.web.context.SecurityContextPersistenceFilter@b8f4e00, org.springframework.security.web.header.HeaderWriterFilter@1126e52a, org.springframework.web.filter.CorsFilter@14afd0d8, org.springframework.security.web.authentication.logout.LogoutFilter@5849442b, com.freebe.code.web.filter.JWTAuthenticationFilter@3f6df79f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4923ca9c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64df1bbf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@370b2d3, org.springframework.security.web.session.SessionManagementFilter@20880f70, org.springframework.security.web.access.ExceptionTranslationFilter@4599228, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@9cc79c0] -- 
2024-08-14 00:22:06.133 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:22:06.163 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-08-14 00:22:07.765 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 16.025 seconds (JVM running for 16.74) -- 
2024-08-14 00:22:09.723 [http-nio-8990-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring DispatcherServlet 'dispatcherServlet' -- 
2024-08-14 00:22:09.724 [http-nio-8990-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet -- Initializing Servlet 'dispatcherServlet' -- 
2024-08-14 00:22:09.730 [http-nio-8990-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet -- Completed initialization in 6 ms -- 
2024-08-14 00:22:48.908 [Thread-11] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-14 00:22:48.923 [Thread-11] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown initiated... -- 
2024-08-14 00:22:48.944 [Thread-11] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown completed. -- 
2024-08-14 00:22:49.433 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 1.8.0_372-internal on zhengbiaodeMacBook-Air.local with PID 47856 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-08-14 00:22:49.435 [restartedMain] INFO  com.freebe.code.GeneralApplication -- No active profile set, falling back to default profiles: default -- 
2024-08-14 00:22:50.028 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-08-14 00:22:50.110 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 80 ms. Found 17 JPA repository interfaces. -- 
2024-08-14 00:22:50.415 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8990 (http) -- 
2024-08-14 00:22:50.418 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:22:50.418 [restartedMain] INFO  org.apache.catalina.core.StandardService -- Starting service [Tomcat] -- 
2024-08-14 00:22:50.419 [restartedMain] INFO  org.apache.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/9.0.54] -- 
2024-08-14 00:22:50.435 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext -- 
2024-08-14 00:22:50.435 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 971 ms -- 
2024-08-14 00:22:50.570 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Starting... -- 
2024-08-14 00:22:50.646 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Start completed. -- 
2024-08-14 00:22:51.323 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-14 00:22:54.164 [restartedMain] INFO  com.freebe.code.common.CommonExecutor -- 启动线程： com.freebe.code.business.meta.service.impl.TransactionTimer$1@5b26283 -- 
2024-08-14 00:22:54.225 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-08-14 00:22:54.435 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer -- LiveReload server is running on port 35729 -- 
2024-08-14 00:22:54.473 [restartedMain] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-08-14 00:22:54.499 [restartedMain] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: 243c077f-521b-46a8-83ba-e9fd84b49948
 -- 
2024-08-14 00:22:54.506 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f74bd, org.springframework.security.web.context.SecurityContextPersistenceFilter@63902a8a, org.springframework.security.web.header.HeaderWriterFilter@13cfdc60, org.springframework.web.filter.CorsFilter@630c39a5, org.springframework.security.web.authentication.logout.LogoutFilter@6f12338b, com.freebe.code.web.filter.JWTAuthenticationFilter@1419e157, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3dd65b00, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5017bc06, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@21e0835a, org.springframework.security.web.session.SessionManagementFilter@81aac9d, org.springframework.security.web.access.ExceptionTranslationFilter@5ef00d1d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4f171ea5] -- 
2024-08-14 00:22:54.532 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-08-14 00:22:54.534 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-08-14 00:22:55.466 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 6.227 seconds (JVM running for 64.441) -- 
2024-08-14 00:22:55.500 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener -- Condition evaluation unchanged -- 
2024-08-14 00:22:58.439 [http-nio-8990-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring DispatcherServlet 'dispatcherServlet' -- 
2024-08-14 00:22:58.442 [http-nio-8990-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet -- Initializing Servlet 'dispatcherServlet' -- 
